dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
gs_alpha,ood_low,3,0.0271717,0.0459838,0.0625222,0.0779203,0.0927234,0.107783,0.124822,0.148458,0.184434,0.22682,0.264411,0.303029,0.34559,0.39204,0.440669,0.489609,0.540719,0.596886,0.652414,0.703745,0.751353,0.793174,0.82678,0.850826,0.868832,0.881706,0.890138,0.898338,0.911993
gs_alpha,ood_high,3,0.0395387,0.0809656,0.133841,0.193153,0.252026,0.309149,0.362547,0.412891,0.459177,0.502951,0.543785,0.582705,0.621038,0.659943,0.699804,0.740772,0.776935,0.804066,0.824504,0.843057,0.863881,0.891283,0.926171,0.96272,0.995542,1.01969,1.03616,1.04859,1.05784
gs_beta,id,3,0.0979698,0.228923,0.475009,0.854553,1.17552,1.27554,1.23451,1.22198,1.26433,1.30266,1.24015,1.14996,1.10069,1.01717,1.02208,1.11107,1.13704,1.11756,1.10603,1.04684,1.01976,1.03509,1.00789,0.962543,0.881598,0.915698,0.988594,0.973595,0.961795
gs_beta,ood_low,3,0.153766,0.276249,0.483601,0.68007,0.796978,0.866625,0.936413,0.967541,0.949298,1.00346,1.11608,1.14529,1.10989,1.08712,1.07689,1.12917,1.19809,1.18546,1.14822,1.14283,1.10977,1.08015,1.12206,1.15759,1.13256,1.13781,1.16157,1.14936,1.16212
gs_beta,ood_high,3,0.239256,0.848024,1.24946,1.47113,1.75132,2.1828,2.33991,2.22667,2.11913,2.19416,2.35802,2.39947,2.25463,2.13595,2.19648,2.35097,2.39645,2.26285,2.14621,2.19687,2.343,2.39223,2.26974,2.15569,2.19745,2.33518,2.38743,2.27561,2.16454
gs_gamma,id,3,0.0443462,0.0787398,0.12789,0.149142,0.180698,0.269223,0.338327,0.388102,0.450412,0.470843,0.555739,0.577652,0.614577,0.668892,0.681032,0.727565,0.751124,0.774528,0.814154,0.819791,0.85289,0.871741,0.900671,0.928209,0.951962,0.969561,0.977864,0.997217,1.00296
gs_gamma,ood_low,3,0.0896259,0.254273,0.312884,0.375134,0.480703,0.540323,0.597281,0.702278,0.757727,0.785878,0.862877,0.908948,0.935584,0.989896,1.01299,1.03004,1.06863,1.06833,1.09448,1.12903,1.12934,1.15199,1.1924,1.17067,1.19217,1.23605,1.19947,1.22246,1.26924
gs_gamma,ood_high,3,0.111923,0.222986,0.21557,0.25697,0.345787,0.313045,0.363257,0.426128,0.426203,0.501539,0.52502,0.528201,0.594016,0.604331,0.634251,0.67302,0.675643,0.693424,0.731411,0.748255,0.745309,0.789281,0.808293,0.813811,0.83645,0.858425,0.870805,0.888699,0.905836
gs_delta,id,3,0.0280888,0.0433073,0.0708755,0.0927514,0.12332,0.165683,0.209853,0.368438,0.579763,0.746109,0.887314,0.983976,1.06103,1.10628,1.14588,1.17375,1.17672,1.16151,1.13819,1.11951,1.09629,1.0796,1.06433,1.04973,1.03818,1.032,1.03032,1.03019,1.03152
gs_delta,ood_low,3,0.0528876,0.0992299,0.172632,0.242395,0.31595,0.398951,0.477746,0.599502,0.793047,0.94333,1.06288,1.15967,1.22951,1.27569,1.30002,1.30862,1.29843,1.2789,1.24469,1.21137,1.1936,1.17297,1.15444,1.13512,1.1173,1.11098,1.10391,1.09988,1.09724
