pde,condition,step,pde_transformer_raw,pde_ttt_raw_3seed_mean,pde_ttt_raw_3seed_std,mean_difference,winning_seed_count
gs_iota,ood_low,10,0.549361,0.45841798848576015,0.027352185027845994,-0.09094301151423985,3
gs_iota,ood_low,20,0.965398,0.9171206222640144,0.014171036949608406,-0.04827737773598558,3
gs_iota,ood_low,29,0.998129,0.967635711034139,0.013704811565666322,-0.03049328896586112,3
gs_iota,ood_high,1,0.0640852,0.05585750440756476,0.002949992281600341,-0.008227695592435228,3
gs_iota,ood_high,10,0.415191,0.3214622338612874,0.03876524326805486,-0.09372876613871257,3
gs_iota,ood_high,20,0.714791,0.7418968213929071,0.03698997650087815,0.02710582139290711,1
gs_iota,ood_high,29,0.714082,0.7651994890636868,0.056132323050285676,0.051117489063686815,0
gs_kappa,id,1,0.030324,0.034097358584403964,0.0018118945388207641,0.003773358584403966,0
gs_kappa,id,10,0.271126,0.2362074885103437,0.012145227713895661,-0.034918511489656245,3
gs_kappa,id,20,0.714299,0.653915074136522,0.04412255650437652,-0.06038392586347796,3
gs_kappa,id,29,0.903179,0.8716430200470818,0.04812177835126743,-0.031535979952918125,2
