dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
gs_theta,8,ood_high,2026072203,"{""Feed Rate"": 0.042, ""Kill Rate"": 0.06}",{},0.04174867272377014,0.18274284899234772,0.26036542654037476,0.2862546145915985,0.34115058183670044,0.44120359420776367,0.49044880270957947,0.527127742767334,0.579617977142334,0.6321106553077698,0.6984813213348389,0.7640464305877686,0.8383350372314453,0.8959625363349915,0.9419589638710022,0.9705245494842529,0.9872804284095764,0.9993510842323303,1.0158406496047974,1.0279849767684937,1.0337706804275513,1.0265207290649414,1.0192712545394897,1.0068426132202148,0.9887284636497498,0.973399817943573,0.9667623043060303,0.9654076099395752,0.965391218662262
gs_iota,0,id,2026072201,"{""Feed Rate"": 0.05, ""Kill Rate"": 0.0605}",{},0.05412013456225395,0.06879644840955734,0.07886822521686554,0.09145545214414597,0.11581744998693466,0.13208910822868347,0.1681196689605713,0.21735365688800812,0.28301844000816345,0.3646337389945984,0.427625447511673,0.5260067582130432,0.5746660232543945,0.6012328267097473,0.6546257734298706,0.6874349117279053,0.6942388415336609,0.7031108140945435,0.719091534614563,0.7141711115837097,0.7031112313270569,0.7004252076148987,0.704312264919281,0.7075651288032532,0.7106098532676697,0.7140898704528809,0.717828631401062,0.7222846150398254,0.725464403629303
gs_iota,1,id,2026072202,"{""Feed Rate"": 0.05, ""Kill Rate"": 0.0605}",{},0.056717872619628906,0.07077613472938538,0.08036873489618301,0.09302480518817902,0.1168648898601532,0.1430337131023407,0.18558114767074585,0.23455141484737396,0.30739349126815796,0.37004780769348145,0.4216327965259552,0.5089605450630188,0.5772618055343628,0.628007709980011,0.7156992554664612,0.7676900029182434,0.7714004516601562,0.765711784362793,0.7658202648162842,0.7595547437667847,0.7537681460380554,0.7551262378692627,0.7563254237174988,0.7581278681755066,0.7601909637451172,0.762651264667511,0.7652145624160767,0.7676813006401062,0.7701505422592163
gs_iota,2,id,2026072203,"{""Feed Rate"": 0.05, ""Kill Rate"": 0.0605}",{},0.05465344339609146,0.06900858134031296,0.07546690106391907,0.08634284883737564,0.10301526635885239,0.1177876889705658,0.1428947150707245,0.18459120392799377,0.24876390397548676,0.3059016764163971,0.36325496435165405,0.45780181884765625,0.5329620838165283,0.5644152760505676,0.6208768486976624,0.6737663745880127,0.6959472298622131,0.7291958928108215,0.7852033972740173,0.8131477236747742,0.818241536617279,0.8418542146682739,0.8485608100891113,0.8265889286994934,0.8099388480186462,0.805189847946167,0.8043388724327087,0.80452561378479,0.806202232837677
gs_iota,3,ood_low,2026072201,"{""Feed Rate"": 0.0475, ""Kill Rate"": 0.0605}",{},0.07245652377605438,0.10310807824134827,0.12259948998689651,0.16765743494033813,0.20260955393314362,0.23150970041751862,0.29915010929107666,0.3490716516971588,0.41197124123573303,0.5003029704093933,0.5782848000526428,0.6462958455085754,0.7051987648010254,0.7602061033248901,0.7901692986488342,0.8245609998703003,0.8559925556182861,0.8664873242378235,0.8761904239654541,0.8793472647666931,0.8767446279525757,0.8760150671005249,0.8830820322036743,0.8898350596427917,0.8955695033073425,0.900831937789917,0.905297577381134,0.9094863533973694,0.9132080078125
gs_iota,4,ood_low,2026072202,"{""Feed Rate"": 0.0475, ""Kill Rate"": 0.0605}",{},0.07743974030017853,0.11339590698480606,0.14165818691253662,0.1910533756017685,0.2297496795654297,0.2599979043006897,0.3217613995075226,0.3826656937599182,0.4418319761753082,0.5117250084877014,0.5825334787368774,0.6435591578483582,0.7120014429092407,0.7941105365753174,0.860973596572876,0.9247961640357971,0.9619436264038086,0.9562768936157227,0.9547603130340576,0.9598689079284668,0.9652820229530334,0.9743725061416626,0.9832740426063538,0.9914389252662659,0.9977855682373047,1.0031390190124512,1.0077606439590454,1.0118441581726074,1.0153837203979492
gs_iota,5,ood_low,2026072203,"{""Feed Rate"": 0.0475, ""Kill Rate"": 0.0605}",{},0.07057370990514755,0.10730122029781342,0.1334807574748993,0.17474131286144257,0.21369580924510956,0.24126318097114563,0.2931131422519684,0.3415318727493286,0.392526239156723,0.45729756355285645,0.5306631326675415,0.6005801558494568,0.6682490706443787,0.7346953749656677,0.7693493962287903,0.8244357705116272,0.8736472129821777,0.9108861088752747,0.9377840161323547,0.9544130563735962,0.9686798453330994,0.979516327381134,0.9906274676322937,0.9883890151977539,0.9871127605438232,0.9876548647880554,0.9904226660728455,0.9937003254890442,0.9976664781570435
gs_iota,6,ood_high,2026072201,"{""Feed Rate"": 0.052500000000000005, ""Kill Rate"": 0.0605}",{},0.05977168679237366,0.10931416600942612,0.08253955841064453,0.10417816787958145,0.18741939961910248,0.1502522975206375,0.18816517293453217,0.249723419547081,0.2928859293460846,0.36586642265319824,0.43290993571281433,0.5106583833694458,0.5715245008468628,0.5964550375938416,0.6207303404808044,0.6582570672035217,0.6663163304328918,0.6740902662277222,0.7023529410362244,0.6977450251579285,0.6850625276565552,0.6818220615386963,0.6864513754844666,0.6885460019111633,0.6910439133644104,0.6928346753120422,0.6944705247879028,0.6957042813301086,0.6971414089202881
gs_iota,7,ood_high,2026072202,"{""Feed Rate"": 0.052500000000000005, ""Kill Rate"": 0.0605}",{},0.06004435569047928,0.12193568050861359,0.08445072919130325,0.09828028827905655,0.15643475949764252,0.1533876210451126,0.20088252425193787,0.25674378871917725,0.3131842613220215,0.3832026720046997,0.4411281943321228,0.5085132718086243,0.5806476473808289,0.6279770135879517,0.6928026676177979,0.7596856951713562,0.7632795572280884,0.7446640133857727,0.7435979843139648,0.7294703125953674,0.7215877771377563,0.7233949303627014,0.7270114421844482,0.730660617351532,0.7349045872688293,0.7388097643852234,0.7425360679626465,0.746614396572113,0.7509835362434387
gs_iota,8,ood_high,2026072203,"{""Feed Rate"": 0.052500000000000005, ""Kill Rate"": 0.0605}",{},0.05795788764953613,0.09404535591602325,0.0830250009894371,0.10263202339410782,0.15522710978984833,0.14483411610126495,0.16927161812782288,0.2266833484172821,0.27483972907066345,0.3299904465675354,0.39221036434173584,0.4702201783657074,0.5553134679794312,0.5983827114105225,0.6232834458351135,0.6999830603599548,0.7211991548538208,0.7468727231025696,0.8044966459274292,0.8325561285018921,0.8341898322105408,0.8487185835838318,0.8552314043045044,0.8312551379203796,0.8122957944869995,0.8062619566917419,0.8027535676956177,0.8041974902153015,0.8067632913589478
